City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Tupaciguara,BR,76.37,moderate rain,-18.5922,-48.705,Hotel Tupaciguara
7,Kavaratti,IN,82.53,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
8,Tres Arroyos,AR,80.2,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
9,Hilo,US,79.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Bengkulu,ID,76.98,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
16,Hithadhoo,MV,83.03,overcast clouds,-0.6,73.0833,Scoop Guest House
17,Kismayo,SO,78.64,broken clouds,-0.3582,42.5454,Agan-Hotel
19,Concordia,AR,76.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
24,Marana,US,77.58,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
27,Rikitea,PF,80.08,overcast clouds,-23.1203,-134.9692,People ThankYou
29,Lompoc,US,76.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
41,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
46,Comodoro Rivadavia,AR,80.46,clear sky,-45.8667,-67.5,Austral Hotel
49,Zemio,CF,76.35,overcast clouds,5.0314,25.1361,OCHA Office
57,Belmonte,BR,81.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
61,Butaritari,KI,81.41,clear sky,3.0707,172.7902,Isles Sunset Lodge
65,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
70,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
72,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
74,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
76,Kapaa,US,80.11,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Panaba,MX,75.0,overcast clouds,21.2833,-88.2667,Hotel California
84,Point Fortin,TT,85.89,overcast clouds,10.1833,-61.6833,Jus Les' Suites
85,Kirakira,SB,79.81,overcast clouds,-10.4544,161.9205,SanBiz Lodge
86,Faanui,PF,81.32,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
89,Souillac,MU,78.46,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
101,Sibolga,ID,76.48,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
104,Curuguaty,PY,86.61,broken clouds,-24.4694,-55.6945,La Esquina del Tereré
109,Vallenar,CL,83.07,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
110,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
112,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
116,Atuona,PF,78.84,overcast clouds,-9.8,-139.0333,Villa Enata
125,Tucuman,AR,75.2,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
128,Rangoon,MM,80.56,few clouds,16.8053,96.1561,Clover Hotel
133,Noumea,NC,81.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
137,Soyo,AO,80.26,light rain,-6.1349,12.3689,Hotel Mpampa
140,Cairns,AU,77.07,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
143,Riohacha,CO,85.66,broken clouds,11.5444,-72.9072,Hotel Taroa
147,Galle,LK,79.48,overcast clouds,6.0367,80.217,Amangalla
149,Vao,NC,79.45,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
153,Fare,PF,81.21,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
155,Arraial Do Cabo,BR,80.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
158,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
159,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
163,Paka,MY,77.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
170,Santa Isabel Do Rio Negro,BR,75.09,overcast clouds,-0.4139,-65.0192,Hotel GSA
178,Kut Chap,TH,85.01,overcast clouds,17.4257,102.5669,ผึ้งหลวง รีสอร์ต
179,Balsas,BR,83.64,overcast clouds,-7.5325,-46.0356,Novo Hotel
