City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,50.81,85,11,3.51,few clouds
1,Faya,SA,18.3851,42.4509,61.32,66,4,1.92,clear sky
2,Rabo De Peixe,PT,37.8,-25.5833,55.27,81,20,11.5,few clouds
3,Tupaciguara,BR,-18.5922,-48.705,76.37,70,72,3.15,moderate rain
4,Chesma,RU,53.8111,60.6533,-12.17,100,87,3.96,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,44.26,65,40,39.12,scattered clouds
6,Svetlyy,RU,54.675,20.1347,34.97,77,6,8.1,clear sky
7,Kavaratti,IN,10.5669,72.642,82.53,73,20,6.42,few clouds
8,Tres Arroyos,AR,-38.3739,-60.2798,80.2,30,7,8.97,clear sky
9,Hilo,US,19.7297,-155.09,79.25,61,20,5.01,few clouds
10,Kaitangata,NZ,-46.2817,169.8464,52.2,92,18,2.89,few clouds
11,Norman Wells,CA,65.282,-126.8329,-5.1,87,55,4.07,broken clouds
12,Thompson,CA,55.7435,-97.8558,16.9,82,100,10.13,overcast clouds
13,Bengkulu,ID,-3.8004,102.2655,76.98,91,100,5.17,light rain
14,Lebu,CL,-37.6167,-73.65,63.73,62,3,20.6,clear sky
15,Bemidji,US,47.4736,-94.8803,28.9,58,0,20.71,clear sky
16,Hithadhoo,MV,-0.6,73.0833,83.03,71,95,5.53,overcast clouds
17,Kismayo,SO,-0.3582,42.5454,78.64,80,83,15.64,broken clouds
18,Walvis Bay,NA,-22.9575,14.5053,65.08,72,68,18.68,broken clouds
19,Concordia,AR,-31.393,-58.0209,76.78,51,2,8.01,clear sky
20,Tynda,RU,55.1667,124.7167,-11.54,99,6,2.01,clear sky
21,Busselton,AU,-33.65,115.3333,63.68,88,11,7.99,few clouds
22,Ulaangom,MN,49.9811,92.0667,9.05,90,88,3.76,overcast clouds
23,Punta Arenas,CL,-53.15,-70.9167,50.11,57,0,31.07,clear sky
24,Marana,US,32.4367,-111.2254,77.58,9,0,0.0,clear sky
25,Yellowknife,CA,62.456,-114.3525,-3.59,78,100,13.69,overcast clouds
26,Egvekinot,RU,66.3167,-179.1667,7.5,44,0,4.29,clear sky
27,Rikitea,PF,-23.1203,-134.9692,80.08,71,100,15.08,overcast clouds
28,Verkhnevilyuysk,RU,63.4453,120.3167,-9.85,99,100,2.33,overcast clouds
29,Lompoc,US,34.6391,-120.4579,76.57,70,0,21.99,clear sky
30,Saldanha,ZA,-33.0117,17.9442,61.05,67,100,20.96,overcast clouds
31,Koungheul,SN,13.9833,-14.8,92.03,9,29,2.71,scattered clouds
32,Thai Binh,VN,20.45,106.3333,69.48,90,100,3.15,overcast clouds
33,Kodiak,US,57.79,-152.4072,40.51,81,100,19.57,overcast clouds
34,Itoman,JP,26.1247,127.6694,68.02,88,75,3.44,broken clouds
35,Hobart,AU,-42.8794,147.3294,62.46,82,75,11.5,light rain
36,Carauari,BR,-4.8828,-66.8958,73.02,99,100,1.14,overcast clouds
37,Roma,US,43.2128,-75.4557,31.37,43,75,11.5,broken clouds
38,Vanavara,RU,60.34,102.2797,-24.72,100,100,1.63,overcast clouds
39,Albany,US,42.6001,-73.9662,34.95,33,100,4.0,overcast clouds
40,Rawson,AR,-43.3002,-65.1023,74.07,31,16,15.88,few clouds
41,Saint-Philippe,RE,-21.3585,55.7679,78.39,89,69,14.2,light rain
42,Cherskiy,RU,68.75,161.3,-20.79,100,100,4.41,overcast clouds
43,Barrow,US,71.2906,-156.7887,-12.98,77,0,9.22,clear sky
44,Beloha,MG,-25.1667,45.05,74.71,77,100,10.51,overcast clouds
45,Puerto Penasco,MX,31.3167,-113.5333,63.91,75,0,5.01,clear sky
46,Comodoro Rivadavia,AR,-45.8667,-67.5,80.46,18,0,21.85,clear sky
47,Ribeira Grande,PT,38.5167,-28.7,57.6,54,40,4.61,scattered clouds
48,Leshan,CN,29.5623,103.7639,74.14,62,100,3.31,overcast clouds
49,Zemio,CF,5.0314,25.1361,76.35,60,94,3.29,overcast clouds
50,Nelson Bay,AU,-32.7167,152.15,66.99,97,59,1.97,broken clouds
51,Northam,GB,51.0333,-4.2167,43.61,90,54,8.66,broken clouds
52,Tuktoyaktuk,CA,69.4541,-133.0374,-9.67,90,94,10.78,overcast clouds
